Year,State,Program,Level,College/University Name,Type,Affiliated University,State,City,Courses Offered,Intake Capacity,Accreditation,Approval Year
2014-2015,Maharashtra,Pharmacy,UG,1-2013669715,"ASHOKRAO MANE COLLEGE OF PHARMACY, PETH VADGAON","VATHAR-VADGAON ROAD,",KOLHAPUR,Unaided - Private,N,N,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2013679416,SMT. KASHIBAI NAVALE COLLEGE OF PHARMACY,"NEAR OCTROI POST, KONDHWA- SASWAD ROAD KONDHWA (BK.)",PUNE,Unaided - Private,N,N,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2013702570,Y. B. CHAVAN COLLEGE OF PHARMACY,"DR RAFIQ ZAKARIA CAMPUS, DR RAFIQ ZAKARIA MARG, RAUZA BAUGH, AURANGABAD 4311001, MAHARASHTRA.",AURANGABAD,Unaided - Private,N,Y,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2013718435,"SINHGAD INSTITUTE OF PHARMACEUTICAL SCIENCES, LONAVALA","GAT NO. 309 /310 KUSGAON (BK), OFF MUMBAI-PUNE EXPRESSWAY LONAVALA, TAL-MAVAL, DIST-PUNE, MAHARASHTRA PIN:410401",PUNE,Unaided - Private,N,N,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2013729000,"NAGAON EDUCATION SOCIETY'S GANGAMAI COLLEGE OF PHARMACY, NAGAON,TAL. DIST. DHULE","NAGAON EDUCATION SOCIETY'S GANGAMAI COLLEGE OF PHARMACY, NAGAON,TAL. DIST. DHULE",DHULE,Unaided - Private,N,N,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2013746520,MAHARASHTRA ACADEMY OF ENGINEERING & EDUCATIONAL RESEARCH'S MAHARASHTRA INSTITUTE OF PHARMACY,"MAHARASHTRA ACADEMY OF ENGINEERING & EDUCATIONAL RESEARCH'S MAHARASHTRA INSTITUTE OF PHARMACY S. NO. 124, MIT CAMPUS, EX-SERVICEMEN COLONY, PAUD ROAD",PUNE,Unaided - Private,N,N,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2013756504,"COLLEGE OF PHARMACY, KORADI","AT KORADI, TA. KAMPTEE, NAGPUR, MAHARASHTRA",NAGPUR,Unaided - Private,N,N,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2013756677,DADASAHEB BALPANDE COLLEGE OF PHARMACY,"NEAR SWAMI SAMARTH DHAM MANDIR, AT POST: MAHALGI NAGAR, BESA, NAGPUR-440034",NAGPUR,Unaided - Private,N,N,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2013760202,GAHLOT INSTITUTE OF PHARMACY,"PLOT NO.59,SECTOR-14,KOPARKHAIRANE,NAVI MUMBAI-400709.",THANE,Unaided - Private,N,N,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2013879155,SHRI BHAGWAN COLLEGE OF PHARMACY,"DR.Y.S.KHEDKAR MARG, N-6 CIDCO, AURANGABAD (M.S.) 431003",AURANGABAD,Unaided - Private,N,N,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2013883801,DAYANAND EDUCATION SOCIETY'S DAYANAND COLLEGE OF PHARMACY,"BARSHI ROAD, TQ. & DIST. LATUR MAHARASHTRA",LATUR,Unaided - Private,N,N,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2013885229,"SMT.SHARADCHANDRIKA SURESH PATIL COLLEGE OF PHARMACY, CHOPDA","MGS MANDAL CAMPUS, YAWAL ROAD,",JALGAON,Unaided - Private,N,N,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2013933883,SANT GAJANAN MAHARAJ COLLEGE OF PHARMACY,"SITE - CHINCHEWADI, MAHAGAON",KOLHAPUR,Unaided - Private,N,N,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2013936989,GOVERNMENT COLLEGE OF PHARMACY KARAD,"SAIDAPUR, VIDYANAGAR, KARAD TAL-KARAD, DIST-SATARA MAHARASHTRA, PIN-415124",SATARA,Government,N,N,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2013945644,D.S.T.S MANDAL'S COLLEGE OF PHAMACY,"JULE SOLAPUR - I , VIJAPUR ROAD",SOLAPUR,Unaided - Private,N,N,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2013947481,YADAVRAO TASGAONKAR INSTITUTE OF PHARMACY,"DR. N.Y. TASGAONKAR EDUCATIONAL COMPLEX, CHANDHAI- BHIVPURI RD, KARJAT, RAIGAD",RAIGAD,Unaided - Private,N,N,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2013961297,"MAHATMA GANDHI VIDYAMANDIR'S PHARMACY COLLEGE, PANCHAVATI, NASHIK-3","MUMBAI AGRA ROAD, NEAR KANNAMWAR BRIDGE, PANCHAVATI, NASHIK-422 003",NASHIK,Unaided - Private,N,N,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2013982973,S.N.D.COLLEGEOF PHARMACY,AT/POST-BABHULGAON TAL-YEOLA DIST-NASHIK PIN-423401,NASHIK,Unaided - Private,N,N,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2013985434,ALI-ALLANA COLLLEGE OF PHARMACY,MOLGI RAOD AKKALKUWA DIST. NANDUBAR-425415,NANDURBAR,Unaided - Private,N,Y,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2013985646,PRES'S COLLEGE OF PHARMACY (FOR WOMEN),"CHINCHOLI, TAL: SINNAR",NASHIK,Unaided - Private,Y,N,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2013993381,RAJMATA JIJAU SHIKSHAN PRASARAK MANDAL'S COLLEGE OF PHARMACY,"R.J.S.P.M'S COLLEGE OF PHARMACY, DUDULGAON, MOSHI-ALANDI ROAD,TAL- HAWELI, PUNE-412105",PUNE,Unaided - Private,N,N,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2013994232,IDEAL COLLEGE OF PHARMACY AND RESEARCH,"ADARSH VIDYA NAGARI, 21/11, BHAL GAON, PO. DWARLI SHRI MALANG ROAD, VIA KALYAN RAILWAY STATION, TQ. AMBARNATH DISTRICT : THANE PIN : 421 301",THANE,Unaided - Private,N,Y,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2013995949,RMP'S BHALCHANDRA COLLEGE OF PHARMACY,"SHIKHAGO HILLS, PANSHET ROAD. GORHE(KD) PUNE- 411042",PUNE,Unaided - Private,N,N,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2014001460,MATOSHRI COLLEGE OF PHARMACY,"EKLAHARE, NEAR ODHA GAON, AURANGABAD HIGHWAY NASHIK, MAHARASHTRA",NASHIK,Unaided - Private,N,N,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2014001574,K.B.H.S.S.TRUST'S INSTITUTE OF PHARMACY,"OPP. JAJUWADI, BHAYGAON ROAD, KRISHI NAGAR MALEGAON CAMP MALEGAON",NASHIK,Unaided - Private,N,N,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2014096755,"GOVERNMENT COLLEGE OF PHARMACY,RATNAGIRI","NEAR THIBA PALACE, GOVERNMENT POLYTECHNIC CAMPUS",RATNAGIRI,Government,N,N,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2014096867,RAJARSHI SHAHU COLLEGE OF PHARMACY,"RAJARSHI SHAHU COLLEGE OF PHARMACY RAJARSHI SHAHU NAGAR, BOTHA ROAD, MALVIHIR, BULDANA-443 001",BULDHANA,Unaided - Private,N,N,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2014117867,J.E.S'S COLLEGE OF PHARMACY,"S.NO. 5/2/2, WAGHODA ROAD, P.O.BOX NO. 04",NANDURBAR,Unaided - Private,N,N,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2014125060,"RAMCHANDRA SANSKRITIK KRIDA MANDAL'S, SHRI. R. D. BHAKT COLLEGE OF PHARMACY","DREGAON, JALNA.",JALNA,Unaided - Private,N,N,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2014127905,SIDDHANT COLLGE OF PHARMACY,"VILLAGE : SUDUMBARE, TALEGAON CHAKAN ROAD, TALUKA : MAVAL, DISTRICT : PUNE - 412109",PUNE,Unaided - Private,N,Y,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2014137051,ROYAL COLLEGE OF PHARMACEUTICAL EDUCATION & RESEARCH,"BEHIND, SURESH NANA PETROL PUMP, DHULE ROAD, SAYNE KHURD (VIA-ZODGE), MALEGAON, DIST. NASIK",NASHIK,Unaided - Private,N,Y,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2014137186,ABHINAV EDUCATION SOCIETY'S COLLEGE OF PHARMACY,"S. NO. 23/3/3, AT NARHE, TAL HAVELI, DIST PUNE 411041",PUNE,Unaided - Private,N,N,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2014139800,KAMLA NEHRU COLLEGE OF PHARMACY,"BORKHEDI (GATE), NEAR BUTIBORI RLY. CROSSING, BUTIBORI, NAGPUR 441108, MS, INDIA",NAGPUR,Unaided - Private,N,N,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2014146953,VIVA INSTITUTE OF PHARMACY,"AT:-SHIRGAON, VIRAR (E), TAL:-VASAI, DIST:- THANE",THANE,Unaided - Private,N,N,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2014148229,"ANURADHA COLLEGE OF PHARMACY, CHIKHLI","ANURADHA NAGAR, SAKEGAON ROAD, CHIKHLI- 443201, DIST. BULDANA (MAHARASHTRA)",BULDHANA,Unaided - Private,N,N,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2014150912,"DR.VEDPRAKASH PATIL PHARMACY COLLEGE,GEORI TANDA, AURANGABAD.","SHRI DHANESHWARI MANAV VIKAS MANDAL'S, DR.VEDPRAKASH PATIL PHARMACY COLLEGE, GEORI TANDA, AURANGABAD.431001 STATE-MAHARASHTRA",AURANGABAD,Unaided - Private,N,N,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2014151145,GOVT. COLLEGE OF PHARMACY,"KATHORA NAKA, , AMRAVATI.444604",AMRAVATI,Government,N,N,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2014153306,SONEKAR COLLEGE OF PHARMACY,"DEVI ROAD, MAHADULA, KORADI",NAGPUR,Unaided - Private,N,N,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2014156746,"MULA EDUCATION SOCIETY'S COLLEGE OF PHARMACY,SONAI.","AT/POST-SONAI, TAL-NEWASA ,DIST-AHMEDNAGAR",AHMEDNAGAR,Unaided - Private,N,N,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2014163430,"SCHOOL OF PHARMACY, SWAMI RAMANAND TEERTH MARATHWADA UNIVERSITY, NANDED","DNYANTEERTH, VISHNUPURI, NANDED",NANDED,Government,N,N,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2014168563,"KCT'S RAVINDRA GAMBHIRRAO SAPKAL COLLEGE OF PHARMACY, ANJANERI,WADHOLI TAL-TRIMBAK, NASHIK","KALYANI CHARITABLE TRUST'S RAVINDRA GAMBHIRRAO SAPKAL COLLEGE OF PHARMACY, KALYANI HILLS, SAPKAL KNOWLEDGE HUB, ANJANERI, TAL-TRIMBAK DIST NASHIK.(MAH",NASHIK,Unaided - Private,N,N,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2014168764,C. U. SHAH COLLEGE OF PHARMACY,"S.N.D.T. WOMEN'S UNIVERSITY, SIR VITHALDAS VIDYAVIHAR, JUHU, SANTACRUZ (W) MUMBAI - 400 049",MUMBAI CITY,Govt aided,Y,N,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2014170222,ADARSH COLLEGE OF PHARMACY,"BHAVANINAGAR, KUNDAL ROAD, VITA TAL-KHANAPUR DIST-SANGLI",SANGLI,Unaided - Private,N,N,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2014171724,H.R.PATEL INSTITUTE OF PHARMACEUTICAL EDUCATION AND RESEARCH,KARWAND NAKA,DHULE,Unaided - Private,N,Y,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2014177616,IBSS COLLEGE OF PHARMACY MALKAPUR,IBSS COLLEGE OF PHARMACY HANUMAN NAGAR MAKAPUR DISTRICT BULDANA,BULDHANA,Unaided - Private,N,N,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2014177884,CHANNABASWESHWAR PHARMACY COLLEGE ( DEGREE),"BASWESHWAR CHOWK, KAVA ROAD,",LATUR,Unaided - Private,N,N,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2014178052,"POONA COLLEGE OF PHARMACY, ERANDWANE, PUNE","BHARATI VIDYAPEETH DEEMED UNIVERSITY POONA COLLEGE OF PHARMACY PAUD ROAD ERANDWANE, PUNE-411 038",PUNE,Govt aided,N,N,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2014178341,"SANJIVANI COLLEGE OF PHARMACEUTICAL EDUCATION AND RESEARCH, KOPARGAON","AT- SAHAJANANDNAGAR, POST- SHINGNAPUR, TAL.- KOPARGAON, DIST.- AHMEDNAGAR.(M.S.) PIN- 423 603",AHMEDNAGAR,Unaided - Private,N,N,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2014179787,"AMRUTVAHINI COLLEGE OF PHARMACY, SANGAMNER","AMRUTNAGAR, P.O.SANGAMNER S.K.",AHMEDNAGAR,Unaided - Private,N,N,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2014180074,PADMASHRI DR.VITHALRAO VIKHE PATIL FOUNDATION'S COLLEGE OF PHARMACY,"P.O.M.I.D.C., VILAD-GHAT, AHMEDNAGAR-414111 (MAHARASHTRA).",AHMEDNAGAR,Unaided - Private,N,N,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2014180364,PRAVARA RURAL COLLEGE OF PHARMACY,"A/P- LONI BK., TAL- RAHATA, DIST- AHMEDNAGAR, MAHARASHTRA, PIN-413736",AHMEDNAGAR,Unaided - Private,N,N,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2014182532,INSTITUTE OF CHEMICAL TECHNOLOGY,"NATHALAL PAREKH MARG, MATUNGA",MUMBAI CITY,Govt aided,N,N,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2014184293,POONA DISTRICT EDUCATION ASSOCIATIONâS SETH GOVIND RAGHUNATH SABLE COLLEGE OF PHARMACY,"PDEA'S SETH GOVIND RAGHUNATH SABLE COLLEGE OF PHARMACY,SASWAD, TALUKA-PURANDHAR, DIST-PUNE, PINCODE-412301",PUNE,Unaided - Private,N,N,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2014187593,ARVIND GAVALI COLLEGE OF PHARMACY,"SURVEY NO. 261,JAITAPUR,SATARA RAHIMATPUR ROAD,TAL. & DIST.SATARA 415004 (MAHARASHTRA)",SATARA,Unaided - Private,N,N,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2014187778,SINHGAD TECHNICAL EDUCATION SOCIETY'S SINHGAD COLLEGE OF PHARMACY,"S. NO.44/1, OFF SINHGAD ROAD, VADGAON (BK.),",PUNE,Unaided - Private,N,N,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2014198541,LOKNETE DR. J. D. PAWAR COLLEGE OF PHARMACY,"A/P- MANUR, TAL: KALWAN DIST: NASHIK",NASHIK,Unaided - Private,N,N,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2018414717,"KONKAN GYANPEETH RAHUL DHARKAR COLLEGE OF PHARMACY AND RESEARCH INSTITUTE,KARJAT","VENGAON ROAD,DAHIVALI, TALUKA - KARJAT. DIST - RAIGAD PIN - 410201 MAHARASHTRA (INDIA)",RAIGAD,Unaided - Private,N,N,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2018475702,NANDED PHARMACY COLLEGE,"OPP. KASTURBA MATRU SEVA KEMDRA, SHYAM NAGAR, SSBES CAMPUS, NANDED",NANDED,Unaided - Private,N,N,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2018619995,AISSMS COLLEGE OF PHARMACY,"KENNEDY ROAD, NEAR R.T.O., PUNE",PUNE,Unaided - Private,N,N,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2018624603,SVPM'S COLLEGE OF PHARMACY,MALEGAON(BK) TAL- BARAMATI,PUNE,Unaided - Private,N,N,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2018627908,INSTITUTE OF PHARMACEUTICAL EDUCATION AND RESEARCH,"AT. POST. BORGAON (MEGHE), TAHSIL - WARDHA, DISTRICT-WARDHA MAHARASHTRA STATE 442 001",WARDHA,Unaided - Private,N,N,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2018636598,PRIN.K.M.KUNDNANI COLLEGE OF PHARMACY,"HYDERABAD(SIND) NATIONAL COLLEGIATE BOARD'S PRIN.K.M.KUNDNANI COLLEGE OF PHARMACY 23, JOTE JOY BLDG, RAMBHAU SALGAONKAR MARG, CUFFE PARADE, MUMBA",MUMBAI CITY,Govt aided,N,Y,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2018636816,"APPASAHEB BIRNALE COLLEGE OF PHARMACY, SANGLI","SANGLI-MIRAJ ROAD, SOUTH SHIVAJINAGAR, SANGLI-416416 MAHARASHTRA",SANGLI,Unaided - Private,N,N,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2018638583,"BHARATI VIDYAPEETH COLLEGE OF PHARMACY, KOLHAPUR","NEAR CHITRANAGARI, KOLHAPUR - 416 013",KOLHAPUR,Unaided - Private,N,N,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2018651501,"MVP SAMAJ'S COLLEGE OF PHARMACY, NASHIK","MVP CAMPUS,GANGAPUR ROAD, NASHIK",NASHIK,Govt aided,N,N,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2018653198,"RAJARAMBAPU COLLEGE OF PHARMACY, KASEGAON","A/P. KASEGAON, TAL: WALWA, DIST: SANGLI, MS, INDIA, 415404",SANGLI,Unaided - Private,N,N,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2018663493,HUMERA KHAN COLLEGE OF PHARMACY,"H. K. BUILDING, ADJACENT TO MHADA COMPLEX, PRATIKSHA NAGAR, OSHIWARA, JOGESHWARI(W), MUMBAI - 400 102.",MUMBAI CITY,Unaided - Private,N,Y,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2018667161,MAHARASHTRA COLLEGE OF PHARMACY,NILANGA,LATUR,Unaided - Private,N,N,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2018671848,RAJGAD DNYANPEETH'S COLLEGE OF PHARMACY,"MAHAD - PANDHARPUR ROAD, BEHIND BHOR POLICE STATION, A/P: BHOR, TAL :BHOR. DIST :PUNE. PIN:412206.(MS)",PUNE,Unaided - Private,N,N,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2018672061,"VIDYABHARATI COLLEGE OF PHARMACY, AMRAVATI","C.K. NAIDU ROAD, CAMP, AMRAVATI",AMRAVATI,Unaided - Private,N,N,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2018706578,"GOVT. COLLEGE OF PHARMACY, AURANGABAD","OPP. GOVT. POLYTECHNIC OSMANPURA, AURANGABAD 431005 MAHARASHTRA",AURANGABAD,Government,N,N,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2018706980,"SPM'S COLLEGE OF PHARMACY, MALEWADI, SANGOLA ROAD AKLUJ.","SHIKSHAN PRAARAK MANDAL'S COLLEGE OF PHARMACY, MALEWADI, SANGOLA ROAD, AKLUJ. TAL- MALSHIRAS, DIST- SOLAPUR. PIN- 413101.",SOLAPUR,Unaided - Private,N,N,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2018714523,SVKM'S DR. BHANUBEN NANAVATI COLLEGE OF PHARMACY,"GATE NO.1, MITHIBAI COLLEGE CAMPUS, 1ST FLOOR, V.M. ROAD, VILE PARLE (WEST), MUMBAI - 400 056",MUMBAI SUBURBAN,Unaided - Private,N,Y,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2018716832,MARATHWADA MITRA MANDAL'S COLLEGE OF PHARMACY,"S. NO.4/17,SECTOR NO.34, PCNTDA, OFF KALEWADI PHATA-PIMPRI ROAD, THERGAON(KALEWADI)",PUNE,Unaided - Private,N,N,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2018717072,PADMASHREE DR D Y PATIL INSTITUTE OF PHARMACEUTICAL SCIENCES AND RESEARCH,"SANT TUKARAM NAGAR, OPP HINDUSTAN ANTIBIOTICS, PIMPRI, PUNE.411018",PUNE,Unaided - Private,N,N,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2018722658,SHIVAJIRAO S JONDHLE COLLEGE OF PHARMACY,"OPP ASANGAON RLY STATION, ASANGAON SHAHAPUR",THANE,Unaided - Private,N,N,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2018723385,MUP'S COLLEGE OF PHARMACY (B.PHARM),"PUNDLIK NAGAR, DEGAON TQ. RISOD DIST. WASHIM",WASHIM,Unaided - Private,N,N,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2018727254,S.M.B.T. COLLEGE OF PHARMACY,"NANDI HILLS, A/P. DHAMANGAON TAL. IGATPURI DIST. NASHIK 422403",NASHIK,Unaided - Private,N,N,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2018733216,"KVPS, INSTITUTE OF PHARMACEUTICAL EDUCATION, BORADI","A/P- BORADI, TAL- SHIRPUR, DIST- DHULE 425 428 (MAHARASHTRA)",DHULE,Unaided - Private,N,N,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2018734340,TAPI VALLEY EDUCATION SOCIETY'S HON'BLE LOKSEVAK MADHUKARRAO CHAUDHARI COLLEGE OF PHARMACY,COLLEGE OF PHARMACY FAIZPUR NEHARU VIDYANAGAR FAIZPUR SAVDA ROAD,JALGAON,Unaided - Private,N,N,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2018734978,POONA DISTRICT EDUCATION ASSOCIATION'S SHANKARRAO URSAL COLLEGE OF PHARMACEUTICAL SCIENCES AND RESE,"SR.NO.15/2/A/1/1, NEAR ZENSAR I.T.TOWER, KHARADI. TAL. HAVELI DIST. PUNE: - 411014.",PUNE,Unaided - Private,N,N,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2018743733,"DEPARTMENT OF PHARMACEUTICAL SCIENCES, RTM NAGPUR UNIVERSITY, NAGPUR","RTM NAGPUR UNIVERSITY CAMPUS, AMRAVATI ROAD, NAGPUR-440033 (MS)",NAGPUR,University Managed,N,N,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2018747835,GOKHALE EDUCATION SOCIETY'S SIR DR. M. S. GOSAVI COLLEGE OF PHARMACEUTICAL EDUCATION & RESEARCH,"PRIN. T. A. KULKARNI VIDYANAGAR, COLLEGE ROAD,",NASHIK,Unaided - Private,N,N,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2018757791,SVKM'S NARSEE MONJEE INSTITUTE OF MANAGEMENT STUDIES,"BABHULDE, BANK OF TAPI RIVER, MUMBAI AGRA ROAD",DHULE,University Managed,N,Y,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2018794707,"SAHYADRI COLLEGE OF PHARMACY, METHWADE","AT / POST METHWADE, TALUQA- SANGOLA - 413307 DISTRICT SOLAPUR, MAHARASHTRA",SOLAPUR,Unaided - Private,N,N,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2018839987,"PES MODERN COLLEGE OF PHARMACY (FOR LADIES),MOSHI, PUNE.","BORHADEWADI, DEHU-ALANDI ROAD, AT POST- MOSHI, TAL-HAVELI DIST- PUNE 412105. STATE-MAHARASHTRA.",PUNE,Unaided - Private,Y,N,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2018841371,"P. E. SOCIETY'S MODERN COLLEGE OF PHARMACY, NIGDI, PUNE-44","SECTOR-21, YAMUNANAGAR, NIGDI, PUNE-411044 MAHARASHTRA INDIA",PUNE,Unaided - Private,N,N,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2018848337,GENBA SOPANRAO MOZE COLLEGE OF PHARMACY,"GAT NO. 2181, WAGHOLI, HAVELI, DISTRICT - PUNE PIN CODE - 412207.",PUNE,Unaided - Private,N,N,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2018848499,SHARADCHANDRA PAWAR COLLEGE PHARMACY,AT POST DUMBARWADI POST KHAMUNDI TAL JUNNAR DIST PUNE,PUNE,Unaided - Private,N,N,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2018848726,SNJB'S SHRIMAN SURESHDADA JAIN COLLEGE OF PHARMACY,"AT NEMINAGAR, POST & TALUKA CHANDWAD DISTRICT NASHIK - 423101",NASHIK,Unaided - Private,N,Y,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2018848971,SHREE CHANAKYA EDUCATION SOCIETY'S INDIRA COLLEGE OF PHARMACY,"""NIRAMAY"", 89/2 A, NEW PUNE MUMBAI HIGHWAY, TATHAWADE, PUNE 411033",PUNE,Unaided - Private,N,N,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2018863931,SHELLINO EDUCATION SOCIETY'S ARUNAMAI COLLEGE OF PHARMACY,"GAT NO- 258, PO BOX NO 157 VIDGAON ROAD, MAMURABAD, JALGAON, MS",JALGAON,Unaided - Private,N,N,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2018868423,"MANOHARBHAI PATEL INSTITUTE OF PHARMACY, GONDIA","MIET CAMPUS, KUDWA",GONDIA,Unaided - Private,N,N,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2018869135,MUMBAI EDUCATIONAL TRUST INSTITUTE OF PHARMACY DEGREE,"4TH FLOOR, MET COMPLEX, GEN. ARUNKUMAR VAIDYA CHOWK, BANDRA RECLAMATION, BANDRA (WEST) MUMBAI - 400 050",MUMBAI SUBURBAN,Unaided - Private,N,N,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2018869418,AGNIHOTRI COLLEGE OF PHARMACY,AGNIHOTRI COLLEGE CAMPUS SINDI (MEGHE) WARDHA,WARDHA,Unaided - Private,N,N,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2018876495,SHREE SAINATH COLLEGE OF PHARMACY,"46, DAWALAMETI, AMRAVATI ROAD, NAGPUR",NAGPUR,Unaided - Private,N,N,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2066756224,OYSTER INSTITUTE OF PHARMACY,"GAT. NO. 613, GOLATGAON,NAGINACHI WADI, NEAR KARMAD, JALNA ROAD, TAH. & DIST.- AURANGABAD.",AURANGABAD,Unaided - Private,N,N,Click Here,NA
2014-2015,Maharashtra,Pharmacy,UG,1-2183137181,SHRI FATTECHAND JAIN COLLEGE OF PHARMACY (B.PHARM),"60/61,D-2 BLOCK,ACHARYA ANAND RUSHIJI MARG,TELCO ROAD, CHINCHWAD,PUNE",PUNE,Unaided - Private,N,Y,Click Here,NA
